Rang,Pays,Émissions par habitant (tCO2/an - chiffres 2022)
1,Qatar,33.643
2,Émirats arabes unis,18.392
3,Arabie saoudite,14.636
4,États-Unis,13.813
5,Canada,13.440
6,Corée du Sud,10.640
7,Russie,11.307
8,Japon,7.793
9,Allemagne,7.303
10,Belgique,6.748
11,Royaume-Uni,4.564
12,Italie,5.258
13,France,4.133
14,Espagne,4.541
15,Chine,7.515
16,Brésil,1.922
17,Mexique,2.953
18,Indonésie,2.365
19,Inde,1.776
20,Pakistan,0.853
21,Nigéria,0.459
22,Bangladesh,0.607
23,Argentine,3.770
24,Portugal,3.467
25,Israël,6.240